sample_id,sig_T_cell,sig_Tumor_GPNMB,sig_Endothelial,sig_CAF,sig_PDL1_axis,sig_TIGIT_axis,sig_Proliferation
Pre-treatment Primary (D0),-0.14946293189768398,0.849473465194606,0.00011296202378010646,1.4440381763429315,-0.010295062354516965,-0.001913372934945641,-0.04459130374473877
Refractory Biopsy Core 1 (D35),-0.26489705882352943,2.5310117647058825,0.21457254901960784,0.3367390446111331,-0.00521764705882353,0.009849980260560597,-0.04742549019607844
Refractory Biopsy Core 2 (D35),-0.298759842519685,2.5390583989501314,0.2785673665791776,0.35312553212727604,-0.007874015748031496,0.0074402402719794215,-0.061599956255468075
SPSC_biopsy1,-0.1570674724878225,5.084692404834927,0.12644416381021106,0.3102048212853667,-0.0031860003608154435,0.018332572553568377,-0.053345360514763365
SPSC_biopsy2,-0.3783328205128205,7.422737435897436,0.20182632478632478,0.5599369012791832,-0.025378461538461537,0.003980726208914125,-0.12542222222222224
Xenograft,0.27694129852165644,0.9810681248379008,-0.19623296158612144,-0.07154059541057267,0.04528442984352036,-0.010800996199749774,0.22371271721276043
