,n_bins,T_cell,PDL1,TIGIT_ligands,GPNMB,Endothelial,CAF,IFNg
Pre-treatment Primary (D0),76899.0,0.009453959089194918,0.009167869543167012,0.06573557523504857,2.030000390122108,0.16629605066385778,4.630424322813041,0.01773755185373022
Refractory Biopsy Core 1 (D35),1700.0,0.24529411764705883,0.02588235294117647,0.17352941176470588,5.7952941176470585,0.95,1.7647058823529411,0.06529411764705882
Refractory Biopsy Core 2 (D35),3048.0,0.18143044619422571,0.024934383202099737,0.16830708661417323,5.868110236220472,1.1371391076115485,1.8809055118110236,0.14041994750656167
Xenograft,23134.0,1.1489150168583038,0.12929022218379874,0.1681507737529178,2.5717990835998963,0.026541021872568515,0.7047203250626783,9.189158813867035
SPSC_biopsy1,5543.0,0.21035540321125745,0.0395092909976547,0.1804077214504781,10.669853869745625,0.6444163810211077,1.5655782067472488,0.9099765469962114
SPSC_biopsy2,9750.0,0.08246153846153846,0.03876923076923077,0.2444102564102564,15.576205128205128,0.9353846153846154,2.5783589743589745,0.18092307692307694
