sample_id,meta_Glycolysis,meta_OXPHOS,meta_FAO_LipidOx,meta_Lipid_Biosynthesis,meta_Hypoxia,meta_Wnt_Signaling,meta_IFNg_Signaling,meta_Tcell_Metabolism
Pre-treatment Primary (D0),0.08164824867291896,-0.006802342466525358,-0.02619691249711697,0.05745800149732581,0.1472737400139577,-0.01577401155132985,-0.1051679874293116,-0.09952639176062109
Refractory Biopsy Core 1 (D35),-0.1535064965745334,0.06049705882352941,0.029996147266871116,0.10499831932773109,0.22215588235294118,0.024146218487394962,-0.19398610700561633,-0.20689490196078433
Refractory Biopsy Core 2 (D35),-0.12042303070549916,0.06050853018372704,0.00728471948604014,0.11657949006374203,0.15462817147856517,0.020038432695913013,-0.22245957477677097,-0.18668197725284338
SPSC_biopsy1,-0.07085321259782047,0.018850201455288953,0.06192564753587016,0.04635189814695498,0.1898953635215587,0.12619520115460942,0.03488151564243734,-0.19844680979012566
SPSC_biopsy2,0.032749335804757494,0.041634529914529914,0.09294360586579606,0.06730344322344323,0.44898598290598296,0.2308392673992674,-0.21055343383584588,-0.2537514757834758
Xenograft,0.18828603946346464,-0.07008407538687646,-0.036138566802168336,-0.01116760735590164,-0.10290596812771965,-0.0562543689560202,1.1396420374544982,-0.06616199341037243
