zone,n_bins,mean_t_cell_score,PDL1_CD274_frac,PDL1_CD274_mean,PVR_frac,PVR_mean,NECTIN2_frac,NECTIN2_mean,CD86_frac,CD86_mean,CLEC2D_frac,CLEC2D_mean
<50um,6163,0.257292142069107,0.06603926659094597,0.07301639,0.0710692844393964,0.07853318,0.05646600681486289,0.061333764,0.024987830601979556,0.026772676,0.1539834496186922,0.20963816
50-100um,15358,0.06035163659217406,0.04089074098189868,0.04505795,0.05671311368667795,0.0617919,0.06374527933324652,0.070256546,0.026370621174632115,0.027607761,0.10066414897773147,0.12807657
100-200um,18980,-0.022136750178853987,0.04151738672286617,0.045837723,0.05779768177028451,0.065226555,0.07044257112750263,0.08182297,0.02787144362486828,0.029820863,0.08835616438356164,0.113804005
200-500um,25342,-0.02251218382691997,0.03141030700023676,0.034922265,0.04533975219004025,0.048812248,0.04691815957698682,0.050114434,0.017678162733801593,0.018506827,0.05844053350169679,0.07386947
500um-1mm,22696,-0.02876891880819982,0.0263041945717307,0.028330984,0.031194924215720832,0.033353895,0.031635530489954176,0.03295735,0.01163200563976031,0.0121166725,0.03978674656327106,0.050273176
>1mm,25587,-0.0024479077416115725,0.018212373470903192,0.020518232,0.01750889123382968,0.018759526,0.015437526869113222,0.016531833,0.006370422480165709,0.0065658344,0.02618517215773635,0.03349357
