,n_bins,pdl1_density,tigit_ligand_density,t_cell_density,tumor_activity,car_infiltration,pdl1_density_norm,tigit_ligand_density_norm,t_cell_density_norm,tumor_activity_norm,car_infiltration_norm,resistance_score
Pre-treatment Primary (D0),76899.0,0.008998816629605066,0.060976085514766125,0.009453959089194918,2.0300004482269287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refractory Biopsy Core 1 (D35),1700.0,0.024705882352941175,0.14176470588235293,0.24529411764705883,5.795294284820557,0.001176470588235294,0.14850583781649357,0.7787465722430592,0.20697518089789133,0.2779593170701091,0.18207282913165265,0.3676670873747355
Refractory Biopsy Core 2 (D35),3048.0,0.023622047244094488,0.1332020997375328,0.18143044619422571,5.868110179901123,0.0013123359580052493,0.13825848520912054,0.6962089555043862,0.15092791976738068,0.28333468944390333,0.20309961254843145,0.35426150288650354
Xenograft,23134.0,0.11476614506786548,0.14018328002074867,1.1489150168583038,2.5717990398406982,0.0,1.0,0.7635027178069096,1.0,0.03999633841345905,0.0,0.0
SPSC_biopsy1,5543.0,0.03265379758253653,0.11924950387876601,0.21035540321125745,10.669854164123535,0.0,0.2236511151620852,0.5617155559455208,0.1763126898916554,0.6378062224829897,0.0,0.32344828038668444
SPSC_biopsy2,9750.0,0.036,0.16471794871794873,0.08246153846153846,15.576205253601074,0.006461538461538461,0.2552885070379398,1.0,0.06407202674857644,1.0,1.0,0.5874298141189122
