,n_cells,n_clonotypes,car_frac,top_clone_fraction
Enriched_Apheresis,6931,5814,0.0004328379743182802,0.006781128264319723
GCAR1_Product,9111,8724,0.3743826144221271,0.000878059488530348
D08,11082,7213,0.008482223425374481,0.012181916621548458
D15,11025,6862,0.4247619047619048,0.0036281179138321997
D22,17508,12097,0.06419922321224583,0.005597441169750971
D28,8648,6551,0.07504625346901017,0.008209990749306197
D42,17340,12296,0.0010380622837370243,0.008938869665513265
