signature,human_mean,xeno_mean,log2_FC,pval,significant
T_cell,-0.1252935809031563,0.34926774444540504,,0.0,True
Myeloid,0.08086629024948865,-0.33767766058615023,,0.0,True
Endothelial,0.032466249679108855,-0.11545349722569712,,0.0,True
CAF,0.8766303109728465,-0.17793312872827874,,0.0,True
IFNg,-0.43279318659745547,1.4893497158524514,,0.0,True
Hypoxia,0.10769826203044812,-0.07406691449814126,,0.0,True
PDL1_axis,-0.008542138719120115,0.024216881357885942,,3.1676244288471425e-234,True
TIGIT_axis,0.00432340849429046,0.007911587562318084,-0.8719804050620356,0.0010862278639755516,True
