timepoint,n_cells,car_frac,mean_exhaustion,clonal_diversity,n_clonotypes
Enriched_Apheresis,6931,0.0004328379743182802,-0.08413663311477737,0.9995340637532263,5814
GCAR1_Product,9111,0.3743826144221271,-0.057958215093070115,0.9998737385920963,8724
D08,11082,0.008482223425374481,0.03313496234178801,0.9985422608533763,7213
D15,11025,0.4247619047619048,0.27189029370176004,0.9996406517860357,6862
D22,17508,0.06419922321224583,0.023816944028847143,0.9997714481930882,12097
D28,8648,0.07504625346901017,0.07142466034325522,0.9994588162278221,6551
D42,17340,0.0010380622837370243,-0.05817228190702276,0.9994406130726936,12296
