timepoint,n_cells,n_clonotypes,shannon,simpson,evenness,top5_frac,singletons_frac
Enriched_Apheresis,6931,53095,12.187128010393291,0.9995340637532263,0.7764337472505828,0.02885586495455201,0.10289104435445899
GCAR1_Product,9111,53095,13.049523710870208,0.9998737385920963,0.8313763986088888,0.00406102513445286,0.1597513890196817
D08,11082,53095,11.734137509719154,0.9985422608533763,0.7475740264363442,0.049900739938639235,0.1245691684716075
D15,11025,53095,12.262754166584967,0.9996406517860357,0.7812518389118819,0.014512471655328799,0.10023542706469536
D22,17508,53095,13.166506599152386,0.9997714481930882,0.8388292999188338,0.016221156042951792,0.17886806667294472
D28,8648,53095,12.196256100944357,0.9994588162278221,0.7770152917740967,0.028445883441258094,0.11219512195121951
D42,17340,53095,12.826752611081979,0.9994406130726936,0.8171838013341083,0.02964244521337947,0.21203503154722667
